source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0048584	positive regulation of response to stimulus	2.9700149057630374e-12	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2274	1749	294	21031	0.1680960548885077	0.12928759894459102	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']
GO:BP	GO:0023051	regulation of signaling	3.993077670460708e-12	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3437	1749	408	21031	0.2332761578044597	0.11870817573465231	query_1	['GO:0023052', 'GO:0050789']
GO:BP	GO:0045595	regulation of cell differentiation	4.063024319078126e-12	True	"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]"	1576	1749	221	21031	0.126357918810749	0.14022842639593908	query_1	['GO:0030154', 'GO:0050793', 'GO:0050794']
GO:BP	GO:0072359	circulatory system development	4.960675243980497e-12	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1130	1749	172	21031	0.09834190966266437	0.15221238938053097	query_1	['GO:0048731']
GO:BP	GO:0043207	response to external biotic stimulus	5.049377963231493e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1551	1749	218	21031	0.12464265294453973	0.14055448098001289	query_1	['GO:0009605', 'GO:0009607']
GO:BP	GO:0051128	regulation of cellular component organization	5.978172957028549e-12	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2425	1749	308	21031	0.1761006289308176	0.12701030927835052	query_1	['GO:0016043', 'GO:0050794']
GO:BP	GO:0048468	cell development	6.473774753998137e-12	True	"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]"	2819	1749	347	21031	0.198399085191538	0.12309329549485633	query_1	['GO:0030154', 'GO:0048856', 'GO:0048869']
GO:BP	GO:0009615	response to virus	7.640921761711969e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."" [GOC:hb]"	406	1749	84	21031	0.048027444253859346	0.20689655172413793	query_1	['GO:0051707']
GO:BP	GO:0051707	response to other organism	7.891716370882076e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1548	1749	217	21031	0.12407089765580331	0.14018087855297157	query_1	['GO:0043207', 'GO:0044419']
GO:BP	GO:2000145	regulation of cell motility	9.373404492402199e-12	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	996	1749	156	21031	0.08919382504288165	0.1566265060240964	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']
GO:BP	GO:0051094	positive regulation of developmental process	9.437654131748473e-12	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1328	1749	193	21031	0.11034877072612921	0.14533132530120482	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']
GO:BP	GO:0071310	cellular response to organic substance	9.710755013454722e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1971	1749	261	21031	0.14922813036020582	0.1324200913242009	query_1	['GO:0010033', 'GO:0070887']
GO:BP	GO:1901362	organic cyclic compound biosynthetic process	1.1592058210657603e-11	True	"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]"	4264	1749	484	21031	0.27672955974842767	0.11350844277673545	query_1	['GO:1901360', 'GO:1901576']
GO:BP	GO:0040011	locomotion	1.5366059844581727e-11	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1234	1749	182	21031	0.10405946255002858	0.14748784440842788	query_1	['GO:0008150']
GO:BP	GO:2000026	regulation of multicellular organismal development	3.647019024281245e-11	True	"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]"	1411	1749	200	21031	0.11435105774728416	0.14174344436569808	query_1	['GO:0007275', 'GO:0050793', 'GO:0051239']
GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	4.0674652444999347e-11	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1724	1749	233	21031	0.13321898227558604	0.1351508120649652	query_1	['GO:0008150']
GO:BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	4.9986648837572725e-11	True	"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	4063	1749	462	21031	0.2641509433962264	0.11370908195914349	query_1	['GO:0006139', 'GO:0031323', 'GO:0051171', 'GO:0080090']
GO:BP	GO:0007166	cell surface receptor signaling pathway	5.276017483163899e-11	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2799	1749	341	21031	0.1949685534591195	0.1218292247231154	query_1	['GO:0007165']
GO:BP	GO:0030855	epithelial cell differentiation	5.52183453899433e-11	True	"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."" [GOC:ecd, PMID:11839751]"	740	1749	124	21031	0.07089765580331618	0.16756756756756758	query_1	['GO:0030154', 'GO:0060429']
GO:BP	GO:0050794	regulation of cellular process	5.88866198450119e-11	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	11738	1749	1125	21031	0.6432246998284734	0.09584256261714091	query_1	['GO:0009987', 'GO:0050789']
GO:BP	GO:0051716	cellular response to stimulus	6.276759344688635e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	7394	1749	761	21031	0.4351057747284162	0.10292128753043008	query_1	['GO:0009987', 'GO:0050896']
GO:BP	GO:0036211	protein modification process	7.17725073356309e-11	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3031	1749	363	21031	0.20754716981132076	0.11976245463543385	query_1	['GO:0019538', 'GO:0043412']
GO:BP	GO:0002376	immune system process	7.728493511777736e-11	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2776	1749	338	21031	0.19325328759291024	0.12175792507204611	query_1	['GO:0008150']
GO:BP	GO:0040012	regulation of locomotion	1.579495606733088e-10	True	"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]"	1038	1749	157	21031	0.08976558033161806	0.151252408477842	query_1	['GO:0040011', 'GO:0050789']
GO:BP	GO:0019222	regulation of metabolic process	1.627589436704609e-10	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	7158	1749	738	21031	0.4219554030874786	0.10310142497904443	query_1	['GO:0008152', 'GO:0050789']
GO:BP	GO:0098542	defense response to other organism	1.721915719445461e-10	True	"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]"	1220	1749	177	21031	0.10120068610634649	0.14508196721311475	query_1	['GO:0006952', 'GO:0051707']
